"catch_year","new_age","pred_weight"
1975,0,0.0601750700071374
1975,1,0.168308030865309
1975,2,0.339694542039068
1975,3,0.48251010067317
1975,4,0.581094995687754
1975,5,0.654606834417548
1975,6,0.695137794041832
1975,7,0.734830592627538
1975,8,0.809971709151232
1975,9,0.895044005820252
1975,10,0.957499639762726
1975,11,1.01962394122284
1975,12,1.09280853185461
1975,13,1.14341766675087
1975,14,1.16188689436783
1975,15,1.17172277032829
1976,0,0.0739923521945986
1976,1,0.206954592582746
1976,2,0.417694540116968
1976,3,0.593303128724666
1976,4,0.714524895016278
1976,5,0.804916378750694
1976,6,0.854753978257422
1976,7,0.903560959822952
1976,8,0.99595583293996
1976,9,1.10056226441384
1976,10,1.17735883918576
1976,11,1.25374800155707
1976,12,1.34373709512357
1976,13,1.40596700084805
1976,14,1.42867709648125
1976,15,1.44077146709225
1977,0,0.0686185326135747
1977,1,0.191924165666744
1977,2,0.387358768486624
1977,3,0.550213486673036
1977,4,0.662631317395322
1977,5,0.746457966915895
1977,6,0.792676026562664
1977,7,0.837938318637343
1977,8,0.923622858002066
1977,9,1.02063207066775
1977,10,1.0918511644565
1977,11,1.16269243485853
1977,12,1.24614591847694
1977,13,1.3038562721668
1977,14,1.32491700873813
1977,15,1.33613300525124
1978,0,0.0606679997398671
1978,1,0.169686741893994
1978,2,0.342477181756765
1978,3,0.486462627441083
1978,4,0.585855089874283
1978,5,0.659969107729307
1978,6,0.700832080512736
1978,7,0.740850026382789
1978,8,0.816606668413651
1978,9,0.902375842783932
1978,10,0.965343087912617
1978,11,1.02797628641782
1978,12,1.10176037549132
1978,13,1.15278407986519
1978,14,1.17140459989331
1978,15,1.18132104735469
1979,0,0.0625456810891987
1979,1,0.174938565455828
1979,2,0.353076888678267
1979,3,0.501518699944042
1979,4,0.603987370160179
1979,5,0.680395225122856
1979,6,0.722522911465372
1979,7,0.763779417217421
1979,8,0.841880735757139
1979,9,0.930304475627406
1979,10,0.995220564006304
1979,11,1.05979226698152
1979,12,1.13585998183013
1979,13,1.18846287553755
1979,14,1.20765970273454
1979,15,1.21788306534938
1980,0,0.0514644811614063
1980,1,0.143944751252532
1980,2,0.290522360129013
1980,3,0.412664779340302
1980,4,0.496979105383886
1980,5,0.559849803149607
1980,6,0.594513739689943
1980,7,0.628460842448864
1980,8,0.692724973347623
1980,9,0.765482705224978
1980,10,0.818897629313556
1980,11,0.87202918265916
1980,12,0.934620002834809
1980,13,0.977903257331311
1980,14,0.993698988298404
1980,15,1.00211108076482
1981,0,0.0475177652964096
1981,1,0.132905894537555
1981,2,0.268242737717949
1981,3,0.381018280730129
1981,4,0.458866697067967
1981,5,0.5169159573157
1981,6,0.548921580681598
1981,7,0.58026534292283
1981,8,0.639601176494101
1981,9,0.706779252495767
1981,10,0.756097884859051
1981,11,0.805154877657482
1981,12,0.862945723609828
1981,13,0.902909665381225
1981,14,0.917494050958251
1981,15,0.925261035613499
1982,0,0.0432871007742321
1982,1,0.121072841166866
1982,2,0.244360195542068
1982,3,0.347094957262983
1982,4,0.418012270442797
1982,5,0.47089321218193
1982,6,0.500049268560836
1982,7,0.52860239151004
1982,8,0.582655358675074
1982,9,0.643852347371065
1982,10,0.688779978033826
1982,11,0.733469263771488
1982,12,0.786114798698535
1982,13,0.822520617953774
1982,14,0.835806507226238
1982,15,0.842881971431812
1983,0,0.0423743733506671
1983,1,0.118519967437616
1983,2,0.23920775410548
1983,3,0.339776308510613
1983,4,0.409198299172008
1983,5,0.460964223161143
1983,6,0.489505511358672
1983,7,0.51745657924117
1983,8,0.57036981598827
1983,9,0.630276439452509
1983,10,0.674256751402575
1983,11,0.718003744034376
1983,12,0.769539224866861
1983,13,0.80517741152446
1983,14,0.818183162019585
1983,15,0.825109436972487
1984,0,0.0442460338665567
1984,1,0.123754950892399
1984,2,0.24977347279467
1984,3,0.35478410333064
1984,4,0.427272437835757
1984,5,0.481324843684983
1984,6,0.511126790105109
1984,7,0.540312446395551
1984,8,0.595562841386099
1984,9,0.658115518417913
1984,10,0.704038424602287
1984,11,0.749717705839757
1984,12,0.803529489942695
1984,13,0.840741802222707
1984,14,0.854322011942982
1984,15,0.861554217918019
1985,0,0.0476768276552629
1985,1,0.133350787620359
1985,2,0.26914066131222
1985,3,0.382293712479099
1985,4,0.460402720885155
1985,5,0.518646296926299
1985,6,0.550759056852963
1985,7,0.582207740121654
1985,8,0.641742196199549
1985,9,0.709145146059769
1985,10,0.758628869057055
1985,11,0.807850076669546
1985,12,0.865834373391726
1985,13,0.905932091631935
1985,14,0.920565297408266
1985,15,0.928358281495363
1986,0,0.0448792375189042
1986,1,0.125526004251384
1986,2,0.253347973408897
1986,3,0.359861407902195
1986,4,0.433387120769848
1986,5,0.48821306896425
1986,6,0.518441510138171
1986,7,0.548044841473002
1986,8,0.604085923195093
1986,9,0.667533789695868
1986,10,0.71411389720161
1986,11,0.760446893251201
1986,12,0.815028776168782
1986,13,0.852773632724267
1986,14,0.866548188415086
1986,15,0.873883894271078
1987,0,0.0430392434854083
1987,1,0.120379591084854
1987,2,0.242961015313312
1987,3,0.345107528825114
1987,4,0.415618777088104
1987,5,0.468196928235688
1987,6,0.49718604016792
1987,7,0.525575671002497
1987,8,0.5793191366843
1987,9,0.640165717997235
1987,10,0.684836097873268
1987,11,0.729269497561638
1987,12,0.781613589811252
1987,13,0.817810953256409
1987,14,0.831020768954164
1987,15,0.838055719811794
1988,0,0.0467596552342526
1988,1,0.130785481354394
1988,2,0.263963127401765
1988,3,0.374939421787891
1988,4,0.451545825430465
1988,5,0.508668953566975
1988,6,0.540163951381188
1988,7,0.571007647565174
1988,8,0.629396822719403
1988,9,0.695503123248138
1988,10,0.744034914075142
1988,11,0.792309239598972
1988,12,0.849178076245036
1988,13,0.88850442350433
1988,14,0.902856126222907
1988,15,0.910499194503236
1989,0,0.0428324801556708
1989,1,0.119801279686477
1989,2,0.241793814766685
1989,3,0.343449609772667
1989,4,0.41362211740515
1989,5,0.465947679689121
1989,6,0.494797526038972
1989,7,0.523050771237418
1989,8,0.576536049808666
1989,9,0.637090320180781
1989,10,0.681546100641585
1989,11,0.725766039382989
1989,12,0.777858667203186
1989,13,0.813882136156071
1989,14,0.827028491038586
1989,15,0.834029645533965
1990,0,0.0465872223789305
1990,1,0.130303191357352
1990,2,0.262989725961365
