"catch_year","new_age","pred_weight"
1986,6,0.812437196033005
1986,7,0.832346875635227
1986,8,0.894903816649514
1986,9,1.03393712312401
1986,10,1.1533532880343
1986,11,1.08931742336444
1986,12,1.91704821009238
1986,13,1.02409235634962
1987,1,0.105874390479615
1988,1,0.105874390479615
1989,0,0.015506058099742
1989,2,0.309294989408887
1989,3,0.440306259187563
1989,4,0.560942284064072
1989,5,0.579904606099216
1989,6,0.593753079889777
1989,7,0.664191354525708
1989,8,0.637904181147062
1989,9,0.65166200635309
1989,10,0.635207111599998
1989,11,0.65916564879671
1989,12,0.797480938964687
1989,15,1.27339627786423
1990,1,0.105874390479615
1991,1,0.105874390479615
1992,1,0.103975563802096
1992,2,0.234000073479868
1992,3,0.383535383637141
1992,4,0.525590758386289
1992,5,0.584576499928363
1992,6,0.594538345864875
1992,7,0.713415854060413
1992,8,0.654680125724694
1992,9,0.720485359555019
1992,10,0.682345474444927
1992,11,0.75172500076483
1992,12,0.728972422646305
1992,13,0.761778014160373
1992,15,0.905872649670477
1993,1,0.105874390479615
1994,1,0.105874390479615
1995,1,0.109437294343052
1995,2,0.257193273229408
1995,3,0.374544297302353
1995,4,0.632875293435769
1995,5,0.568225147570714
1995,6,0.666038316925894
1995,7,0.703381026985944
1995,8,0.729992639552775
1995,9,0.679985231267978
1995,11,0.745125360556402
1995,12,0.6705143989458
1995,13,0.865497524499486
1995,15,0.738684692026745
1996,1,0.105874390479615
1997,1,0.105874390479615
1998,1,0.0922228915735163
1998,2,0.187222187776229
1998,3,0.338137666096105
1998,4,0.476902963882973
1998,5,0.518488525636059
1998,6,0.519204621036582
1998,7,0.655204765203886
1998,8,0.568528711413943
1998,9,0.548930079634893
1998,10,0.667933731881207
1998,11,0.646736873975572
1998,12,0.634703475725021
1998,13,0.579612435605232
1998,14,0.609628646361199
1998,15,0.641309132906224
1999,1,0.105874390479615
2000,1,0.105874390479615
2001,2,0.27192338040903
2001,3,0.45559361843889
2001,4,0.736732016394448
2001,5,0.723012398679218
2001,6,0.805705085965607
2001,7,0.907899463735261
2001,8,0.931928001094127
2001,9,0.883260977713102
2001,10,1.14708924717167
2001,11,0.9028751814719
2001,12,1.00959503347167
2001,13,1.01343762004948
2001,14,0.987312325903401
2001,15,0.995643562593265
2002,1,0.105874390479615
2003,1,0.094725026749341
2003,2,0.252368396106023
2003,3,0.420325056682792
2003,4,0.55024468325562
2003,5,0.612402733645002
2003,6,0.77171247401848
2003,7,0.726805524825236
2003,8,0.814635743817983
2003,9,0.893321467113552
2003,10,0.831933565182996
2003,11,0.797794944829615
2003,12,1.06508372739874
2003,13,0.853267802245663
2003,14,0.795278861083629
2003,15,0.928186294326799
2004,1,0.105874390479615
2005,1,0.0910673506585298
2005,2,0.255760562275046
2005,3,0.398991342976059
2005,4,0.510649249436921
2005,5,0.574146053605336
2005,6,0.595523792381573
2005,7,0.629921241579391
2005,8,0.717930378859707
2005,9,0.696559751207877
2005,10,0.743831361281515
2005,11,0.781638847572522
2005,12,0.800219528607368
2005,13,0.805517033409418
2005,14,0.898113045101547
2005,15,0.781175915857396
2006,1,0.105874390479615
2007,0,0.00939910282152432
2007,1,0.0471516651671692
2007,2,0.20386077546045
2007,3,0.354008422741158
2007,4,0.499857495583084
2007,5,0.547964454236552
2007,6,0.61828883275432
2007,7,0.63290088113398
2007,8,0.671918816036188
2007,9,0.697174470292506
2007,10,0.770569515330374
2007,11,0.754014623296723
2007,12,0.822959101073152
2007,13,0.834902528580119
2007,14,0.812467536016378
2007,15,0.848690559593609
2008,1,0.105874390479615
2009,1,0.0662454832144325
2009,2,0.204464971468461
2009,3,0.319415055646186
2009,4,0.45209581568423
2009,5,0.622214821022769
2009,6,0.705846055534087
2009,7,0.751483431048948
2009,8,0.832016850210091
2009,9,0.855240884104204
2009,10,0.856195772330277
2009,11,0.856555532808211
2009,12,1.00643871942959
2009,13,0.955042407163952
2009,14,0.965903033962279
2009,15,1.13456657441388
2010,1,0.105874390479615
2011,1,0.0754051033517989
2011,2,0.222552866211248
2011,3,0.31691899001191
2011,4,0.403635967588456
2011,5,0.519509070564979
2011,6,0.635828433576621
2011,7,0.792178470777309
2011,8,0.999763565839267
2011,9,0.993840993508178
2011,10,1.10188769313566
2011,11,1.14723167310472
2011,12,1.15343918643097
2011,13,1.10698923330907
2011,14,1.17010557862447
2011,15,1.12541524292086
2012,1,0.0778413144051543
2012,2,0.197987855518507
2012,3,0.356146274261653
2012,4,0.408613353053272
2012,5,0.471855199525817
2012,6,0.53137959936796
2012,7,0.644427744659395
2012,8,0.747216542229492
2012,9,0.872387725891336
2012,10,0.82611070814122
2012,11,0.933728272805468
2012,12,0.917666505533047
2012,13,0.891940750315256
2012,14,0.904135710794
2012,15,1.09988303789666
2013,1,0.115490260516953
2013,2,0.254338236492851
2013,3,0.345644674398014
2013,4,0.485347191806422
2013,5,0.507594429803934
2013,6,0.61215852280778
2013,7,0.659968438254707
2013,8,0.765927285169836
2013,9,0.982943171508116
2013,10,1.20964150429011
2013,11,1.41706194275353
2013,12,1.55000033927397
2013,13,1.3731731645706
2013,14,1.31654076462883
2013,15,1.39940143095457
2014,1,0.105874390479615
2015,1,0.0736672551444782
2015,2,0.21177887436287
2015,3,0.393675407939665
2015,4,0.473691085323006
2015,5,0.490865656539794
2015,6,0.568572551781161
2015,7,0.568986528785049
2015,8,0.65035803598674
2015,9,0.684080609738697
2015,10,0.731445263499227
2015,11,0.94887079680341
2015,12,1.24668902889839
2015,13,1.14227347033406
2015,14,1.33118726747029
