"catch_year","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15"
1975,0.0601750700071374,0.168308030865309,0.339694542039068,0.48251010067317,0.581094995687754,0.654606834417548,0.695137794041832,0.734830592627538,0.809971709151232,0.895044005820252,0.957499639762726,1.01962394122284,1.09280853185461,1.14341766675087,1.16188689436783,1.17172277032829
1976,0.0739923521945986,0.206954592582746,0.417694540116968,0.593303128724666,0.714524895016278,0.804916378750694,0.854753978257422,0.903560959822952,0.99595583293996,1.10056226441384,1.17735883918576,1.25374800155707,1.34373709512357,1.40596700084805,1.42867709648125,1.44077146709225
1977,0.0686185326135747,0.191924165666744,0.387358768486624,0.550213486673036,0.662631317395322,0.746457966915895,0.792676026562664,0.837938318637343,0.923622858002066,1.02063207066775,1.0918511644565,1.16269243485853,1.24614591847694,1.3038562721668,1.32491700873813,1.33613300525124
1978,0.0606679997398671,0.169686741893994,0.342477181756765,0.486462627441083,0.585855089874283,0.659969107729307,0.700832080512736,0.740850026382789,0.816606668413651,0.902375842783932,0.965343087912617,1.02797628641782,1.10176037549132,1.15278407986519,1.17140459989331,1.18132104735469
1979,0.0625456810891987,0.174938565455828,0.353076888678267,0.501518699944042,0.603987370160179,0.680395225122856,0.722522911465372,0.763779417217421,0.841880735757139,0.930304475627406,0.995220564006304,1.05979226698152,1.13585998183013,1.18846287553755,1.20765970273454,1.21788306534938
1980,0.0514644811614063,0.143944751252532,0.290522360129013,0.412664779340302,0.496979105383886,0.559849803149607,0.594513739689943,0.628460842448864,0.692724973347623,0.765482705224978,0.818897629313556,0.87202918265916,0.934620002834809,0.977903257331311,0.993698988298404,1.00211108076482
1981,0.0475177652964096,0.132905894537555,0.268242737717949,0.381018280730129,0.458866697067967,0.5169159573157,0.548921580681598,0.58026534292283,0.639601176494101,0.706779252495767,0.756097884859051,0.805154877657482,0.862945723609828,0.902909665381225,0.917494050958251,0.925261035613499
1982,0.0432871007742321,0.121072841166866,0.244360195542068,0.347094957262983,0.418012270442797,0.47089321218193,0.500049268560836,0.52860239151004,0.582655358675074,0.643852347371065,0.688779978033826,0.733469263771488,0.786114798698535,0.822520617953774,0.835806507226238,0.842881971431812
1983,0.0423743733506671,0.118519967437616,0.23920775410548,0.339776308510613,0.409198299172008,0.460964223161143,0.489505511358672,0.51745657924117,0.57036981598827,0.630276439452509,0.674256751402575,0.718003744034376,0.769539224866861,0.80517741152446,0.818183162019585,0.825109436972487
1984,0.0442460338665567,0.123754950892399,0.24977347279467,0.35478410333064,0.427272437835757,0.481324843684983,0.511126790105109,0.540312446395551,0.595562841386099,0.658115518417913,0.704038424602287,0.749717705839757,0.803529489942695,0.840741802222707,0.854322011942982,0.861554217918019
