"catch_year","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15"
1975,0.0241342146857699,0.119844003308246,0.328251500627383,0.493350526880991,0.594912088887154,0.680700310002462,0.719398283481516,0.75364000989852,0.83972775987369,0.926003479982254,0.968190075079974,1.02740838410219,1.11630510208983,1.162665576837,1.17072326502142,1.19612196002792
1976,0.0289659525075728,0.143837110647352,0.393968376494076,0.592120693268163,0.714015166320978,0.81697843116673,0.863423848037679,0.904520864621237,1.00784362484906,1.11139198736092,1.16202445773409,1.23309843917702,1.33979253073274,1.39543450322862,1.40510536330464,1.43558894865811
1977,0.0269093379743248,0.133624517358718,0.365996187817525,0.550079471841255,0.663319303043867,0.758972062674329,0.802119803789076,0.840298886927953,0.936285617372384,1.0324819320902,1.07951944129657,1.145547091771,1.24466578530562,1.29635711646617,1.3053413348246,1.33366055204113
1978,0.0236560982421296,0.117469805954016,0.321748598331079,0.483576892128354,0.583126445313465,0.667215139026704,0.705146477349122,0.738709850122896,0.823092138810221,0.907658673805124,0.949009521600517,1.00705467261131,1.09419028160041,1.13963232143681,1.14753038092525,1.17242590920818
1979,0.0244509839160658,0.1214169939018,0.332559905792043,0.499825909183706,0.60272049893671,0.689634717691674,0.728840614359138,0.763531774307017,0.850749453333229,0.938157569660516,0.980897877213019,1.0408934453428,1.13095696097848,1.17792593167603,1.18608937957616,1.21182144051864
1980,0.0201179469084112,0.0999003003511163,0.273625901990575,0.411250162321651,0.49591047296271,0.567422345225221,0.599680439638119,0.628223868255077,0.699985423624278,0.771903668291772,0.807069829340426,0.856433391089849,0.930536463267364,0.969181912549886,0.975898689756406,0.997070689936923
1981,0.0191538699889009,0.0951129542934336,0.260513410050406,0.39154254546372,0.472145829219323,0.540230764039703,0.570943010636596,0.598118602820812,0.66644125562433,0.734913088981004,0.768394044060623,0.815392042824712,0.885944004052568,0.922737515566936,0.929132416495138,0.949289828218551
1982,0.0170108566759432,0.08447132795872,0.231366104244031,0.347735164083126,0.419320222787788,0.47978753663567,0.507063571471383,0.531198647254891,0.591877082225701,0.652688006819237,0.682422975708716,0.724162646151052,0.786820965401898,0.819497868363977,0.82517728162143,0.84307939967818
1983,0.0166913047871878,0.0828845194334882,0.227019851905682,0.341202898801826,0.411443219780958,0.470774644665918,0.497538294463325,0.521219988668304,0.580758568729334,0.640427149572581,0.669603541921693,0.710559125425907,0.772040397297878,0.804103458978525,0.809676183474323,0.827242007142923
1984,0.0173150408202395,0.0859818244082632,0.235503338586743,0.353953282626089,0.42681840853967,0.488366984693802,0.516130763179018,0.540697416719872,0.602460889215273,0.66435922048172,0.694625903102002,0.737111952529159,0.80089071313034,0.834151936797433,0.839932907989018,0.858155147516775
