"catch_year","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15"
1986,NA,0.0763865715170309,0.261338236758297,0.289459193458431,0.348695801971365,0.400166504881065,0.575517266621083,0.54479716762189,0.529159064945751,0.802212006568822,0.582925215252881,0.814738173977319,0.822025841386928,0.954755548073021,0.923254090320358,1.15728319802744
1989,0.0184161585421229,NA,0.247364493601151,0.336699619205348,0.369342917634415,0.512705932647604,0.390577393925163,0.41373135238076,0.461916177907838,0.66399249293119,0.612788504216756,0.578164277912471,0.8713685592319,0.61786948709524,0.817100472907677,0.87144096307821
1992,NA,0.100437287393105,0.262221934550986,0.374456669538187,0.468877888257175,0.52912591152193,0.505222471540853,0.486581011910945,0.646235700424127,0.503903609563766,0.506846480640584,0.563536223423433,0.783562433308111,0.711581730967,0.645652385671091,1.02884181738612
1995,NA,0.10194900291018,0.272567583654854,0.395654571549043,0.498405571424513,0.531894251465886,0.524562748514493,0.575456936581748,0.629086073018082,0.597847149187317,0.565589508736825,0.730214193140709,0.551874967366065,0.561291008704916,0.609846670250953,0.868321337940758
1998,NA,0.0878808497039127,0.224211674699558,0.35648330056799,0.461541067362971,0.493463289011852,0.493240409736097,0.551567467232993,0.565031157571901,0.560835215893565,0.600328572065258,0.636378476474489,0.596491295122026,0.559626113268712,0.700247319644941,0.562883002728696
2001,NA,NA,0.311491538805976,0.492571346213397,0.634810011621602,0.653071260202538,0.717500124944686,0.817634358363783,0.84146735958863,0.844486098309777,0.934366404035594,0.916632828082049,0.899201346523354,0.947498032784689,0.966747418144774,0.965318100146583
2003,NA,0.109363013910441,0.30695257857656,0.453582502022103,0.524092170130864,0.612951279385564,0.700779309210849,0.664435691738435,0.755310041205253,0.873913725454173,0.853279006476551,0.843274404875465,0.94527705993736,0.884265433364371,0.861026122009698,0.988395322434651
2005,NA,0.0955944580939675,0.287547923013811,0.429166100671881,0.511787681085759,0.561933532623952,0.571965155025885,0.626535115492143,0.732125212873124,0.711983446926212,0.758474503808592,0.870231332472963,0.874386781614594,0.819590640043032,0.901490365671549,0.937839996610491
2007,0.014039954156618,0.0698883636545851,0.22674989041623,0.395942899587066,0.513598220395807,0.565890284632787,0.594771826444201,0.607999432930183,0.632313104324924,0.696452073029176,0.769259274065276,0.7314140104181,0.797864710862743,0.87484972081938,0.840196979901317,0.888304007620783
2009,NA,0.0744409556066866,0.218737440890144,0.336405796312035,0.475081581035553,0.614737709382299,0.702193025188254,0.719861804333164,0.77732501643066,0.812962086342896,0.79631907114709,0.859311502198378,0.974249660186024,0.889161737221699,0.947330005148967,1.1353685295129
2011,NA,0.0797550957583753,0.232466232200112,0.337101146809404,0.412582807190843,0.482586112588962,0.597265811633109,0.727668434245484,0.852898550979815,0.894242333074221,0.909420604370364,0.936410947052249,0.937798287819324,0.970635593729227,1.06218925050281,1.08170206114697
2012,NA,0.0878738625235087,0.22435876197615,0.35769296966902,0.40424445229523,0.466437222735614,0.513198815944069,0.636127811887134,0.794969562585815,0.900251708628235,0.914231222899049,0.972687133613128,0.97514856264028,0.938558496314623,0.991766213512922,1.19856247810146
2013,NA,0.0976283697240227,0.267617503308129,0.376355926369759,0.470064074616882,0.49880672296165,0.540976720833546,0.58857549536085,0.755598861170074,0.925582566282485,1.02015363370278,1.05155383928884,1.10911727845999,1.08214460942182,1.05709273281058,1.22280540090138
2015,NA,0.0873538328111208,0.240331134207965,0.377852793976417,0.441194010708673,0.459377022466666,0.506676325416495,0.502087560674782,0.554405585408755,0.613077876422966,0.745009503903801,0.908143313890202,1.01958994212867,1.00924496904429,1.04933144748604,1.12212130131175
2017,NA,0.110623158511806,0.299073878097849,0.407948680729101,0.483774090077501,0.561189784122793,0.576173977112599,0.558085632814436,0.634327527735145,0.63542460600197,0.660624972489228,0.729822170001141,0.894557567460407,1.05186428875789,1.1226761437682,1.23214447422608
2019,0.0224021653588289,0.0827380259678673,0.313126871670017,0.454765281267027,0.522118874182693,0.529172372115038,0.557714869723426,0.600282463802395,0.63161147090986,0.62034977442084,0.669072114735495,0.659901681948031,0.700628321961936,0.7424855815689,0.884006712591128,1.13189861680592
2021,NA,0.134644270532326,0.306555125602047,0.38305013058311,0.625399470945146,0.666245572355506,0.681092696718992,0.636658545419312,0.684744813653357,0.750122545218354,0.748201101244481,0.72525997334976,0.791228201330056,0.747656023791899,0.775275160422207,0.895619129417636
1975,NA,0.0923161417527862,0.295381918513005,0.430001684645507,0.564970726957957,0.683246609742394,0.771492301794046,0.876478237682322,0.99939636758504,1.09254553099322,1.11766404106419,1.42972965620967,1.4995786737637,1.63142785360379,NA,NA
1976,NA,0.107035654982129,0.284313141918538,0.507153768774255,0.581548328789274,0.736636815257028,0.829591998753822,0.909830208707126,1.0934591067127,1.23238633051485,1.2866692644061,1.44424460559957,1.70842529404463,1.86446512269554,1.88771705003929,2.41871319724175
1977,0.0220667586306938,NA,0.295984960186337,0.433803169563665,0.607034017354363,0.647420934256986,0.772267484631614,0.86774028084309,0.990391305970767,1.17153597768334,1.27138841355032,1.35545823028648,1.51146943979352,1.71052221199012,1.90561712355179,2.07320871807912
1978,NA,0.106029405050167,0.206599560748225,0.417654767009514,0.476394244047649,0.629179952495349,0.632360772087539,0.738525649315039,0.870318412277239,0.971462216545364,1.1114505695565,1.23594517684861,1.30685151379343,1.41286105308517,1.60790729037624,1.93409806974907
1979,NA,NA,0.330604379499772,0.350446276926769,0.553423496793726,0.598386465958983,0.740389799806126,0.737348087904804,0.90161159143385,1.03135783600112,1.11641349079732,1.29209983600143,1.44855856347756,1.47561968108388,1.58941190983381,1.96953879041806
1980,NA,0.0791382029845322,0.192473092490211,0.425095080049347,0.353585170493404,0.525900892946137,0.529828703351431,0.650746954632674,0.674984244369383,0.815341793702714,0.898412750661825,1.00300893082618,1.15522393400286,1.2070774322865,1.24931777372716,1.47657405715195
1981,NA,0.0872566486450777,0.218762652784535,0.296799522681757,0.511992181394978,0.396243129820622,0.5530173698196,0.553259310727634,0.710860394888139,0.724782688938755,0.839878439087457,0.944326946977507,1.05619565132274,1.16817630906179,1.24034113549632,1.40052327788633
1982,NA,NA,0.22216876911182,0.301104133176375,0.326881432997953,0.526108323562087,0.386500971693773,0.538981517836385,0.558488789397922,0.696038274019837,0.683711790242854,0.811633134698704,0.921774124063646,0.981254827069032,1.09701546244882,1.26024329660007
1983,NA,0.0588612143202332,0.167240683299288,0.345386596001796,0.369348884838275,0.37348561698585,0.564568567928033,0.414849895543217,0.596475319093676,0.602481266017652,0.72965497978714,0.73261008910249,0.868437785550324,0.927738248571094,1.01047828646562,1.22322652673445
1984,NA,0.0640100914212156,0.169777210671696,0.27027160166684,0.437088604201586,0.443588398609584,0.416320524484525,0.622278799317053,0.478060303175382,0.674423969955721,0.651715506669869,0.807282008990561,0.822222774241314,0.916003128709841,1.00168352858027,1.18241030763571
