"catch_year","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15"
1986,0.0313233779186678,0.120290368649861,0.308531173390264,0.488912569428333,0.592250692640332,0.656511502258131,0.696893642203892,0.723930944515462,0.752266149590206,0.772066428484404,0.779077855129509,0.797611556770929,0.83686609725509,0.870166120708126,0.87446864193391,0.857154731161815
1987,0.0293784858254857,0.11282144919039,0.289374240789157,0.458555620282952,0.555477401704447,0.615748209322728,0.653622991827979,0.678981527704355,0.705557378585191,0.724128243271123,0.730704325162561,0.748087255329927,0.784904451872213,0.81613685182421,0.820172226271172,0.803933349240653
1988,0.0284110418623919,0.109106198834225,0.279845044356458,0.443455220990058,0.537185333756963,0.595471402293473,0.632098954771082,0.656622425062655,0.68232312374363,0.700282443265643,0.706641972446895,0.723452476555574,0.759057269751259,0.78926117569012,0.793163663824605,0.777459538777014
1989,0.0278043728820392,0.106776423435015,0.273869434291231,0.433985996733757,0.525714663998732,0.582756133694443,0.61860156772592,0.642601381448032,0.667753285870117,0.685329114983189,0.691552847346338,0.708004392025221,0.742848906041835,0.772407859468664,0.776227016674671,0.760858226233115
1990,0.0271972195781525,0.104444788100501,0.267889053702574,0.424509212888448,0.514234836832599,0.570030714083869,0.605093405278678,0.628569144379294,0.653171816422225,0.670363848973518,0.676451676107557,0.692543974787682,0.726627602669685,0.755541088697962,0.759276848449709,0.744243660322685
1991,0.0264634740410365,0.101627003844152,0.260661756183001,0.413056507602658,0.500361451155389,0.554652028359169,0.588768773843993,0.61161116810044,0.635550092117189,0.652278306037235,0.658201891529678,0.673860040965079,0.707024136989228,0.735157574848436,0.738792548671029,0.724164936366384
1992,0.0254170188582984,0.0976083287180542,0.250354309576545,0.39672285758852,0.480575468672818,0.532719213007994,0.565486867097056,0.587425995900949,0.610418293973287,0.626485017790883,0.632174364697367,0.647213337995751,0.679066013602782,0.706086960267132,0.70957819494233,0.695529007854402
1993,0.0265086670653462,0.101800557461796,0.261106901558302,0.413761905267394,0.501215943924956,0.555599235916354,0.589774244307465,0.612655647685591,0.636635453423816,0.653392234967946,0.659325936469449,0.675010826125237,0.708231558167602,0.736413040933503,0.740054222386284,0.725401629762069
1994,0.0273070510535561,0.104866571111898,0.268970879362293,0.426223523170792,0.51631148921506,0.572332688893218,0.607536974970345,0.631107516962639,0.655809542829647,0.673071002562453,0.679183414380018,0.695340699148211,0.729561968127187,0.758592216489218,0.762343062489179,0.747249165316979
1995,0.0280821236317863,0.107843062549309,0.276605242828612,0.438321283722029,0.530966271100183,0.588577554437867,0.624781065100653,0.649020624070153,0.674423782506866,0.692175184711778,0.698461088818106,0.71507697559125,0.750269567585877,0.780123799079609,0.783981107614613,0.768458791212016
1996,0.0266993405371663,0.102532795928432,0.262985010303401,0.416738042045218,0.50482112648371,0.559595590579969,0.594016415461337,0.617062401864761,0.641214691296807,0.658092002240082,0.66406838410206,0.679866093174924,0.713325777719099,0.741709966307469,0.74537733831549,0.730619351455497
1997,0.0251868453195749,0.0967243991527826,0.248087130341593,0.393130181967011,0.476223433649954,0.52789497035831,0.560365884418991,0.582106335048176,0.604890417568557,0.620811643021557,0.626449467870407,0.641352249992235,0.672916471508597,0.69969271965232,0.703152338116183,0.689230378817094
1998,0.0231349802598777,0.088844674140633,0.227876528019244,0.361103539723587,0.437427537946575,0.484889614541626,0.514715261472892,0.534684610145397,0.555612570461998,0.570236761459112,0.575415296719557,0.589104012627849,0.6180968313963,0.64269173259884,0.64586951067516,0.633081714129916
1999,0.0256397732707564,0.0984637668021121,0.25254841138868,0.400199731392781,0.484787225636244,0.53738795704758,0.570442786417697,0.592574189452247,0.615767991716588,0.631975524086283,0.637714732352767,0.652885507011481,0.68501733904042,0.712275096919014,0.715796928728091,0.701624614752909
2000,0.0278844436645625,0.107083917217226,0.274658121020687,0.435235785697172,0.527228612351711,0.584434349557939,0.620383010947392,0.644451939116835,0.66967627576667,0.687302719594073,0.693544375005609,0.710043296694638,0.744988155628787,0.774632232663385,0.778462388243906,0.7630493388981
