"catch_year","new_age","pred_weight"
1975,0,0.0199145226060391
1975,1,0.0937528970693705
1975,2,0.256803942473725
1975,3,0.397899961342649
1975,4,0.483905622611242
1975,5,0.549614610541919
1975,6,0.588854853157917
1975,7,0.632586887785359
1975,8,0.704481347425967
1975,9,0.761236431777414
1975,10,0.793446928472952
1975,11,0.854221128283142
1975,12,0.924988814972295
1975,13,0.937361127380331
1975,14,0.929259573981161
1975,15,0.962647231446551
1976,0,0.0199145226060391
1976,1,0.0937528970693705
1976,2,0.256803942473725
1976,3,0.397899961342649
1976,4,0.483905622611242
1976,5,0.549614610541919
1976,6,0.588854853157917
1976,7,0.632586887785359
1976,8,0.704481347425967
1976,9,0.761236431777414
1976,10,0.793446928472952
1976,11,0.854221128283142
1976,12,0.924988814972295
1976,13,0.937361127380331
1976,14,0.929259573981161
1976,15,0.962647231446551
1977,0,0.0199145226060391
1977,1,0.0937528970693705
1977,2,0.256803942473725
1977,3,0.397899961342649
1977,4,0.483905622611242
1977,5,0.549614610541919
1977,6,0.588854853157917
1977,7,0.632586887785359
1977,8,0.704481347425967
1977,9,0.761236431777414
1977,10,0.793446928472952
1977,11,0.854221128283142
1977,12,0.924988814972295
1977,13,0.937361127380331
1977,14,0.929259573981161
1977,15,0.962647231446551
1978,0,0.0199145226060391
1978,1,0.0937528970693705
1978,2,0.256803942473725
1978,3,0.397899961342649
1978,4,0.483905622611242
1978,5,0.549614610541919
1978,6,0.588854853157917
1978,7,0.632586887785359
1978,8,0.704481347425967
1978,9,0.761236431777414
1978,10,0.793446928472952
1978,11,0.854221128283142
1978,12,0.924988814972295
1978,13,0.937361127380331
1978,14,0.929259573981161
1978,15,0.962647231446551
1979,0,0.0199145226060391
1979,1,0.0937528970693705
1979,2,0.256803942473725
1979,3,0.397899961342649
1979,4,0.483905622611242
1979,5,0.549614610541919
1979,6,0.588854853157917
1979,7,0.632586887785359
1979,8,0.704481347425967
1979,9,0.761236431777414
1979,10,0.793446928472952
1979,11,0.854221128283142
1979,12,0.924988814972295
1979,13,0.937361127380331
1979,14,0.929259573981161
1979,15,0.962647231446551
1980,0,0.0199145226060391
1980,1,0.0937528970693705
1980,2,0.256803942473725
1980,3,0.397899961342649
1980,4,0.483905622611242
1980,5,0.549614610541919
1980,6,0.588854853157917
1980,7,0.632586887785359
1980,8,0.704481347425967
1980,9,0.761236431777414
1980,10,0.793446928472952
1980,11,0.854221128283142
1980,12,0.924988814972295
1980,13,0.937361127380331
1980,14,0.929259573981161
1980,15,0.962647231446551
1981,0,0.0199145226060391
1981,1,0.0937528970693705
1981,2,0.256803942473725
1981,3,0.397899961342649
1981,4,0.483905622611242
1981,5,0.549614610541919
1981,6,0.588854853157917
1981,7,0.632586887785359
1981,8,0.704481347425967
1981,9,0.761236431777414
1981,10,0.793446928472952
1981,11,0.854221128283142
1981,12,0.924988814972295
1981,13,0.937361127380331
1981,14,0.929259573981161
1981,15,0.962647231446551
1982,0,0.0199145226060391
1982,1,0.0937528970693705
1982,2,0.256803942473725
1982,3,0.397899961342649
1982,4,0.483905622611242
1982,5,0.549614610541919
1982,6,0.588854853157917
1982,7,0.632586887785359
1982,8,0.704481347425967
1982,9,0.761236431777414
1982,10,0.793446928472952
1982,11,0.854221128283142
1982,12,0.924988814972295
1982,13,0.937361127380331
1982,14,0.929259573981161
1982,15,0.962647231446551
1983,0,0.0199145226060391
1983,1,0.0937528970693705
1983,2,0.256803942473725
1983,3,0.397899961342649
1983,4,0.483905622611242
1983,5,0.549614610541919
1983,6,0.588854853157917
1983,7,0.632586887785359
1983,8,0.704481347425967
1983,9,0.761236431777414
1983,10,0.793446928472952
1983,11,0.854221128283142
1983,12,0.924988814972295
1983,13,0.937361127380331
1983,14,0.929259573981161
1983,15,0.962647231446551
1984,0,0.0199145226060391
1984,1,0.0937528970693705
1984,2,0.256803942473725
1984,3,0.397899961342649
1984,4,0.483905622611242
1984,5,0.549614610541919
1984,6,0.588854853157917
1984,7,0.632586887785359
1984,8,0.704481347425967
1984,9,0.761236431777414
1984,10,0.793446928472952
1984,11,0.854221128283142
1984,12,0.924988814972295
1984,13,0.937361127380331
1984,14,0.929259573981161
1984,15,0.962647231446551
1985,0,0.0199145226060391
1985,1,0.0937528970693705
1985,2,0.256803942473725
1985,3,0.397899961342649
1985,4,0.483905622611242
1985,5,0.549614610541919
1985,6,0.588854853157917
1985,7,0.632586887785359
1985,8,0.704481347425967
1985,9,0.761236431777414
1985,10,0.793446928472952
1985,11,0.854221128283142
1985,12,0.924988814972295
1985,13,0.937361127380331
1985,14,0.929259573981161
1985,15,0.962647231446551
1986,0,0.0199145226060391
1986,1,0.0937528970693705
1986,2,0.256803942473725
1986,3,0.397899961342649
1986,4,0.483905622611242
1986,5,0.549614610541919
1986,6,0.588854853157917
1986,7,0.632586887785359
1986,8,0.704481347425967
1986,9,0.761236431777414
1986,10,0.793446928472952
1986,11,0.854221128283142
1986,12,0.924988814972295
1986,13,0.937361127380331
1986,14,0.929259573981161
1986,15,0.962647231446551
1987,0,0.0199145226060391
1987,1,0.0937528970693705
1987,2,0.256803942473725
1987,3,0.397899961342649
1987,4,0.483905622611242
1987,5,0.549614610541919
1987,6,0.588854853157917
1987,7,0.632586887785359
1987,8,0.704481347425967
1987,9,0.761236431777414
1987,10,0.793446928472952
1987,11,0.854221128283142
1987,12,0.924988814972295
1987,13,0.937361127380331
1987,14,0.929259573981161
1987,15,0.962647231446551
1988,0,0.0199145226060391
1988,1,0.0937528970693705
1988,2,0.256803942473725
