"year","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15"
1975,0.0430119240472655,0.114227030855074,0.302378845568826,0.541360941631784,0.705290577390685,0.809144388321927,0.879003502723247,0.975524773303186,1.15856897145593,1.32690611736758,1.40241625613671,1.44030744086729,1.70620569347134,0.869169213182595,1.87322494231688,1.42719857551394
1976,0.0416277155528686,0.133987746855581,0.296641162106024,0.57504896089448,0.76079487856452,0.835823536234066,0.938533402547545,1.06833130380526,1.20958749687596,1.38518081399222,1.51043586480788,1.58738150785987,1.69764943134099,2.07373786883067,1.02176618231965,2.02474604635684
1977,0.0422968758320572,0.110632696841164,0.296860433085841,0.481292993249854,0.689461772460527,0.769199161313163,0.827109503162552,0.973172412874329,1.1301332363249,1.23380512642179,1.34521985109478,1.45858376637122,1.59624236006511,1.76033446075328,2.07982002439796,0.94222985151061
1978,0.0295810213172434,0.110454503794143,0.240849056633887,0.473265296624755,0.567007920436841,0.684944891586893,0.747930827944086,0.84270832435827,1.01155080568499,1.13269542553687,1.17735542196614,1.27642873280972,1.44119620042241,1.62637327069649,1.73476761301404,1.88453977386758
1979,0.0472416537854204,0.0924537952354042,0.287793724769117,0.459551018974499,0.667299327014428,0.674172456965268,0.797103477406237,0.912036350372415,1.04836288111078,1.21341019677907,1.29363156809618,1.33704902933673,1.50947090059433,1.75744177510053,1.91823929555046,1.88129672188171
1980,0.0280502312175806,0.110626618471454,0.180486864603829,0.411427265847545,0.485481545786978,0.594463963379232,0.587831756221211,0.728263230554164,0.850098922041355,0.942224822250862,1.03831245662803,1.10071102265627,1.18467294996422,1.37913108673243,1.55305367820723,1.5586253743536
1981,0.0312329626963201,0.0771176700648014,0.253549876717253,0.30292858722353,0.510287548984875,0.507762333639349,0.608541892198186,0.63053563081475,0.796945477001004,0.897005860421998,0.946581200059219,1.03722669175911,1.1450049498022,1.27075604510332,1.43084957323519,1.4815227841134
1982,0.0327963487140633,0.0818850278179152,0.168551076309304,0.405818579799614,0.358291104259633,0.508951725303096,0.495677599908427,0.622473594890841,0.657996712741331,0.801914911424075,0.859354742361826,0.901731744418624,1.0289199710611,1.17123742286472,1.25725820561566,1.3016364766847
1983,0.0240430929860388,0.0913466128236249,0.190133115862145,0.286599670869083,0.509921503937024,0.37964114889088,0.527826313445319,0.538648407790149,0.690097825043203,0.703394611789703,0.816170927590981,0.869696247546661,0.950300385801693,1.1181364553268,1.23107034262305,1.21505474379254
1984,0.0237181531992215,0.0683993284413301,0.216640805447201,0.33021475246568,0.367825332899713,0.551867894865477,0.402144630408243,0.585857067411021,0.609943566131162,0.753495253538386,0.731217232801545,0.84366646813914,0.9361505398621,1.05479646359089,1.20040358832649,1.21520286448847
